,steam_id_a,steam_id_b,lat_a,lon_a,country_a,lat_b,lon_b,country_b
2061,7.656119796028995e+16,7.656119796169547e+16,55.442952,11.791372,DK,44.64876350000001,-63.5752387,CA
2062,7.656119796039835e+16,7.656119796169547e+16,50.5289601,6.476920499999999,DE,44.64876350000001,-63.5752387,CA
2063,7.656119796113509e+16,7.656119796169547e+16,51.31475930000001,-0.5599501,GB,44.64876350000001,-63.5752387,CA
2132,7.656119796084402e+16,7.656119796181994e+16,37.4315734,-78.6568942,US,40.7127753,-74.0059728,US
2133,7.6561197961401e+16,7.656119796181994e+16,-29.040835,167.954712,NF,40.7127753,-74.0059728,US
2189,7.656119796056477e+16,7.656119796184139e+16,42.36837,-83.35270969999999,US,40.7127753,-74.0059728,US
2240,7.656119796129146e+16,7.656119796192931e+16,52.132633,5.291265999999999,NL,53.7190281,-2.0727839,GB
2241,7.656119796130789e+16,7.656119796192931e+16,53.7190281,-2.0727839,GB,53.7190281,-2.0727839,GB
2242,7.656119796143306e+16,7.656119796192931e+16,53.7190281,-2.0727839,GB,53.7190281,-2.0727839,GB
2278,7.656119796066968e+16,7.656119796198454e+16,25.7616798,-80.1917902,US,37.09024,-95.712891,US
2323,7.656119796027514e+16,7.656119796206048e+16,32.3182314,-86.902298,US,27.6648274,-81.5157535,US
2324,7.656119796196054e+16,7.656119796206048e+16,37.09024,-95.712891,US,27.6648274,-81.5157535,US
2326,7.6561197961308e+16,7.656119796208584e+16,-23.5505199,-46.63330939999999,BR,18.0178743,-76.8099041,JM
2370,7.656119796066696e+16,7.656119796209758e+16,37.09024,-95.712891,US,55.99025719999999,13.5957692,SE
2397,7.656119796027893e+16,7.656119796211646e+16,52.406822,-1.519693,GB,51.48158100000001,-3.17909,GB
2469,7.656119796092968e+16,7.656119796225434e+16,-14.235004,-51.92528,BR,-14.235004,-51.92528,BR
2484,7.65611979602719e+16,7.656119796233104e+16,42.88644679999999,-78.8783689,US,40.6916132,-112.0010501,US
2499,7.65611979602745e+16,7.656119796234075e+16,52.586973,-2.12882,GB,43.604652,1.444209,FR
2500,7.656119796031728e+16,7.656119796234075e+16,51.6858341,-3.3821421,GB,43.604652,1.444209,FR
2501,7.656119796051266e+16,7.656119796234075e+16,55.90070799999999,-3.518068,GB,43.604652,1.444209,FR
2502,7.656119796153746e+16,7.656119796234075e+16,52.3758916,9.732010400000002,DE,43.604652,1.444209,FR
2533,7.656119796034786e+16,7.656119796227528e+16,55.67341200000001,12.5964061,DK,56.26392,9.501785,DK
2671,7.656119796065947e+16,7.656119796259136e+16,50.7753455,6.083886800000001,DE,49.488537,9.7704158,DE
2805,7.65611979602958e+16,7.656119796274448e+16,46.227638,2.213749,FR,47.497912,19.040235,HU
