,appid,total_playtime,appname,lat,lon,country
21193,335300,225,DARK SOULS™ II: Scholar of the First Sin,60.12816100000001,18.643501,SE
21198,255710,70,Cities: Skylines,60.12816100000001,18.643501,SE
21204,235540,1428,Warhammer: End Times - Vermintide,60.12816100000001,18.643501,SE
21233,232090,863,Killing Floor 2,60.12816100000001,18.643501,SE
21242,367500,51,Dragon's Dogma: Dark Arisen,60.12816100000001,18.643501,SE
21243,374320,55,DARK SOULS™ III,60.12816100000001,18.643501,SE
21246,311210,749,Call of Duty: Black Ops III,60.12816100000001,18.643501,SE
21255,413150,796,Stardew Valley,60.12816100000001,18.643501,SE
21264,413410,88,Danganronpa: Trigger Happy Havoc,60.12816100000001,18.643501,SE
21265,377860,582,Mushihimesama,60.12816100000001,18.643501,SE
21300,208650,100,Batman™: Arkham Knight,60.12816100000001,18.643501,SE
21303,268500,7071,XCOM 2,60.12816100000001,18.643501,SE
21336,297130,49,Titan Souls,60.12816100000001,18.643501,SE
21339,240,39506,Counter-Strike: Source,-14.235004,-51.92528,BR
21430,550,216,Left 4 Dead 2,-14.235004,-51.92528,BR
21433,730,496677,Counter-Strike: Global Offensive,-14.235004,-51.92528,BR
21591,203680,25,F1 Race Stars,-14.235004,-51.92528,BR
21592,271590,10064,Grand Theft Auto V,-14.235004,-51.92528,BR
21613,304930,580,Unturned,-14.235004,-51.92528,BR
21623,321040,251,DiRT 3 Complete Edition,-14.235004,-51.92528,BR
21627,24240,273,PAYDAY: The Heist,-14.235004,-51.92528,BR
21628,218620,170,PAYDAY 2,-14.235004,-51.92528,BR
21638,300,232,Day of Defeat: Source,37.09024,-95.712891,US
21641,240,7278,Counter-Strike: Source,37.09024,-95.712891,US
21703,4000,68425,Garry's Mod,37.09024,-95.712891,US
21717,220,549,Half-Life 2,37.09024,-95.712891,US
21745,380,281,Half-Life 2: Episode One,37.09024,-95.712891,US
21751,420,273,Half-Life 2: Episode Two,37.09024,-95.712891,US
21766,1250,2155,Killing Floor,37.09024,-95.712891,US
21828,20500,143,Red Faction: Guerrilla Steam Edition,37.09024,-95.712891,US
21833,10180,661,Call of Duty: Modern Warfare 2,37.09024,-95.712891,US
21862,40100,127,Supreme Commander 2,37.09024,-95.712891,US
21865,48700,4001,Mount & Blade: Warband,37.09024,-95.712891,US
21878,8190,150,Just Cause 2,37.09024,-95.712891,US
21882,8930,140,Sid Meier's Civilization V,37.09024,-95.712891,US
21891,105600,5120,Terraria,37.09024,-95.712891,US
21934,107200,3337,Space Pirates and Zombies,37.09024,-95.712891,US
21969,17710,314,Nuclear Dawn,37.09024,-95.712891,US
21981,55230,2048,Saints Row: The Third,37.09024,-95.712891,US
22000,41070,64,Serious Sam 3: BFE,37.09024,-95.712891,US
22005,22380,3947,Fallout: New Vegas,37.09024,-95.712891,US
22023,208090,348,Loadout,37.09024,-95.712891,US
22026,63380,951,Sniper Elite V2,37.09024,-95.712891,US
22052,104900,107,ORION: Prelude,37.09024,-95.712891,US
22066,115320,492,PROTOTYPE 2,37.09024,-95.712891,US
22087,209080,1186,Guns of Icarus Online,37.09024,-95.712891,US
22114,730,2368,Counter-Strike: Global Offensive,37.09024,-95.712891,US
22187,209670,40,Cortex Command,37.09024,-95.712891,US
22190,49520,3741,Borderlands 2,37.09024,-95.712891,US
22230,200710,1392,Torchlight II,37.09024,-95.712891,US
